
time;gFx;gFy;gFz;Azimuth;Pitch;Roll;Gain;
0,0110;0,0224;0,5408;0,7880;-21,885;-34,449;-1,625;80,7106;
0,0120;0,0224;0,5408;0,7880;-21,906;-34,449;-1,625;80,7106;
0,0310;0,0062;0,5471;0,7538;-19,842;-35,972;-0,474;80,0491;
0,0550;0,0062;0,5471;0,7538;-19,819;-35,972;-0,474;80,0491;
0,0660;0,0009;0,5461;0,7357;-19,085;-36,587;-0,067;80,0491;
0,1060;-0,0004;0,5491;0,7450;-19,022;-36,390;0,028;80,0491;
0,1170;-0,0004;0,5491;0,7450;-19,022;-36,390;0,028;80,0491;
0,1270;-0,0004;0,5491;0,7450;-19,044;-36,390;0,028;80,0491;
0,1470;0,0243;0,5476;0,7382;-21,495;-36,555;-1,886;80,0491;
0,1880;-0,0067;0,5515;0,7260;-18,131;-37,223;0,530;80,0491;
0,1960;-0,0067;0,5515;0,7260;-18,131;-37,223;0,530;80,0491;
0,2300;0,0009;0,5530;0,7411;-19,063;-36,729;-0,066;80,0491;
0,2680;0,0009;0,5530;0,7411;-19,033;-36,729;-0,066;80,0491;
0,2700;0,0175;0,5447;0,7729;-21,170;-35,168;-1,295;80,0491;
0,3090;0,0116;0,5564;0,7611;-20,273;-36,164;-0,873;83,5498;
0,3180;0,0116;0,5564;0,7611;-20,273;-36,164;-0,873;83,5498;
0,3360;0,0116;0,5564;0,7611;-20,252;-36,164;-0,873;83,5498;
0,3500;-0,0224;0,5374;0,7216;-16,591;-36,662;1,774;83,5498;
0,3890;-0,0028;0,5491;0,7636;-18,960;-35,719;0,211;83,5498;
0,4060;-0,0028;0,5491;0,7636;-18,960;-35,719;0,211;83,5498;
0,4290;0,0111;0,5598;0,7367;-19,897;-37,228;-0,864;83,5498;
0,4700;-0,0233;0,5584;0,7362;-16,401;-37,164;1,815;83,5498;
0,4770;-0,0233;0,5584;0,7362;-16,401;-37,164;1,815;83,5498;
0,5090;-0,0121;0,5579;0,7435;-17,651;-36,877;0,932;83,5498;
0,5170;-0,0121;0,5579;0,7435;-17,651;-36,877;0,932;83,5498;
0,5460;-0,0121;0,5579;0,7435;-17,651;-36,877;0,932;83,5498;
0,5480;-0,0009;0,5652;0,7514;-18,771;-36,952;0,065;83,5498;
0,5900;-0,0018;0,5711;0,7235;-18,278;-38,284;0,145;81,3774;
0,6160;-0,0018;0,5711;0,7235;-18,278;-38,284;0,145;81,3774;
0,6300;0,0009;0,5672;0,7348;-18,730;-37,665;-0,067;81,3774;
0,6710;0,0082;0,5598;0,7714;-19,967;-35,968;-0,608;81,3774;
0,6860;0,0082;0,5598;0,7714;-20,020;-35,968;-0,608;81,3774;
0,7110;0,0253;0,5637;0,7606;-21,527;-36,528;-1,904;81,3774;
0,7180;0,0253;0,5637;0,7606;-21,527;-36,528;-1,904;81,3774;
0,7510;0,1103;0,5667;0,9087;-30,036;-31,760;-6,921;81,3774;
0,7550;0,1103;0,5667;0,9087;-30,142;-31,760;-6,921;81,3774;
0,7920;0,0233;0,5452;0,6707;-20,913;-39,087;-1,992;81,3774;
0,8260;0,0233;0,5452;0,6707;-20,965;-39,087;-1,992;81,3774;
