
time;gFx;gFy;gFz;ax;ay;az;wx;wy;wz;p;Bx;By;Bz;
19:07:49:317;0,2045;0,5008;0,7525;-0,1900;-0,0644;-0,7887;0,0275;-0,2645;0,0122;987,8506;-32,8800;-20,0400;-31,8000;
19:07:49:325;0,2045;0,5008;0,7525;-0,1900;-0,0644;-0,7887;0,0843;-0,4227;0,0226;987,8506;-32,8800;-20,0400;-31,8000;
19:07:49:338;0,2045;0,5008;0,7525;-0,1900;-0,0644;-0,7887;0,1332;-0,5742;0,0415;987,8506;-32,8800;-20,0400;-31,8000;
19:07:49:345;0,2045;0,5008;0,7525;-0,1900;-0,0644;-0,7887;0,1967;-0,7141;0,0574;987,8506;-32,8800;-20,0400;-31,8000;
19:07:49:355;0,2045;0,5008;0,7525;-0,1900;-0,0644;-0,7887;0,2621;-0,7734;0,0825;987,8506;-32,8800;-20,0400;-31,8000;
19:07:49:366;0,2045;0,5008;0,7525;-0,1900;-0,0644;-0,7887;0,3030;-0,7972;0,1081;987,8506;-32,8800;-20,0400;-31,8000;
19:07:49:375;0,2045;0,5008;0,7525;-0,1900;-0,0644;-0,7887;0,3018;-0,8027;0,1197;987,8506;-32,8800;-20,0400;-31,8000;
19:07:49:386;0,2045;0,5008;0,7525;-0,1900;-0,0644;-0,7887;0,2804;-0,7593;0,1026;987,8506;-32,8800;-20,0400;-31,8000;
19:07:49:395;0,2045;0,5008;0,7525;-0,1900;-0,0644;-0,7887;0,2566;-0,7379;0,1038;987,8506;-32,8800;-20,0400;-31,8000;
19:07:49:407;0,2045;0,5008;0,7525;-0,1900;-0,0644;-0,7887;0,2566;-0,7379;0,1038;987,8506;-33,0000;-20,0400;-31,9800;
19:07:49:407;0,2045;0,5008;0,7525;-0,1900;-0,0644;-0,7887;0,2566;-0,7379;0,1038;987,8442;-33,0000;-20,0400;-31,9800;
19:07:49:408;0,2045;0,5008;0,7525;-0,1900;-0,0644;-0,7887;0,2364;-0,7361;0,1283;987,8442;-33,0000;-20,0400;-31,9800;
19:07:49:409;0,2985;0,5309;0,7908;-0,1900;-0,0644;-0,7887;0,2364;-0,7361;0,1283;987,8442;-33,0000;-20,0400;-31,9800;
19:07:49:410;0,2985;0,5309;0,7908;0,0484;0,2028;-0,1805;0,2364;-0,7361;0,1283;987,8442;-33,0000;-20,0400;-31,9800;
19:07:49:410;0,2985;0,5309;0,7908;0,0484;0,2028;-0,1805;0,2364;-0,7361;0,1283;987,8442;-33,0000;-20,0400;-31,9800;
19:07:49:415;0,2985;0,5309;0,7908;0,0484;0,2028;-0,1805;0,2236;-0,6994;0,1545;987,8442;-33,0000;-20,0400;-31,9800;
19:07:49:427;0,2985;0,5309;0,7908;0,0484;0,2028;-0,1805;0,1778;-0,6182;0,1949;987,8442;-33,0000;-20,0400;-31,9800;
19:07:49:437;0,2985;0,5309;0,7908;0,0484;0,2028;-0,1805;0,1350;-0,6115;0,2260;987,8442;-33,0000;-20,0400;-31,9800;
