
time;gFx;gFy;gFz;Azimuth;Pitch;Roll;Gain;
0,0110;0,0170;0,4088;0,7435;34,175;-28,798;-1,308;97,9736;
0,0190;0,0170;0,4088;0,7435;34,175;-28,798;-1,308;97,9736;
0,0830;0,0170;0,4088;0,7435;33,551;-28,798;-1,308;97,5901;
0,1660;-0,0043;0,4518;0,7563;34,403;-30,857;0,324;97,5901;
0,2320;-0,0043;0,4518;0,7563;34,403;-30,857;0,324;97,5901;
0,2860;-0,0043;0,4518;0,7563;33,680;-30,857;0,324;97,5901;
0,3330;0,0258;0,4479;0,7914;31,150;-29,496;-1,865;97,5901;
0,4350;0,0258;0,4479;0,7914;31,150;-29,496;-1,865;97,5193;
0,4850;0,0429;0,4504;0,8422;30,510;-28,104;-2,914;97,5193;
0,4870;0,0429;0,4504;0,8422;30,510;-28,104;-2,914;97,5193;
0,6210;0,0429;0,4504;0,8422;30,510;-28,104;-2,914;97,5193;
0,6540;0,0331;0,4675;0,8066;29,788;-30,075;-2,350;97,5193;
0,6840;0,0331;0,4675;0,8066;28,167;-30,075;-2,350;99,4732;
0,8070;0,0194;0,4680;0,8007;29,705;-30,296;-1,390;99,4732;
0,8200;0,0194;0,4680;0,8007;29,705;-30,296;-1,390;99,4732;
0,8840;0,0194;0,4680;0,8007;30,528;-30,296;-1,390;99,4732;
0,9670;0,0233;0,4621;0,8217;30,959;-29,342;-1,626;99,4732;
1,0210;0,0233;0,4621;0,8217;30,959;-29,342;-1,626;100,1768;
1,0840;0,0233;0,4621;0,8217;34,417;-29,342;-1,626;100,1768;
1,1290;0,0097;0,4650;0,8032;35,334;-30,070;-0,688;100,1768;
1,2210;0,0097;0,4650;0,8032;35,334;-30,070;-0,688;100,1768;
1,2840;0,0097;0,4650;0,8032;32,588;-30,070;-0,688;100,4116;
1,2890;0,0000;0,4773;0,8207;33,678;-30,177;-0,000;100,4116;
1,4200;0,0000;0,4773;0,8207;33,678;-30,177;-0,000;100,4116;
1,4500;-0,0023;0,4768;0,8036;33,498;-30,678;0,165;100,4116;
1,4840;-0,0023;0,4768;0,8036;31,189;-30,678;0,165;100,4116;
1,6110;0,0136;0,4753;0,8071;29,382;-30,491;-0,962;98,8857;
1,6200;0,0136;0,4753;0,8071;29,382;-30,491;-0,962;98,8857;
1,6840;0,0136;0,4753;0,8071;30,499;-30,491;-0,962;98,8857;
1,7720;-0,1127;0,4440;0,8418;47,034;-27,602;7,629;98,8857;
1,8200;-0,1127;0,4440;0,8418;47,034;-27,602;7,629;98,8857;
1,8830;-0,1127;0,4440;0,8418;45,465;-27,602;7,629;99,9335;
1,9320;-0,0497;0,4567;0,2134;31,016;-64,371;13,114;99,9335;
2,0200;-0,0497;0,4567;0,2134;31,016;-64,371;13,114;99,9335;
2,0840;-0,0497;0,4567;0,2134;30,905;-64,371;13,114;99,9335;
2,0920;-0,0688;0,3981;0,5110;36,142;-37,673;7,666;99,9335;
2,2200;-0,0688;0,3981;0,5110;36,142;-37,673;7,666;100,0650;
2,2540;0,1421;0,3443;0,8950;17,753;-20,806;-9,019;100,0650;
2,2840;0,1421;0,3443;0,8950;9,158;-20,806;-9,019;100,0650;
2,4160;0,2823;0,2417;0,7049;-33,883;-17,659;-21,824;100,0650;
2,4200;0,2823;0,2417;0,7049;-33,883;-17,659;-21,824;100,0650;
2,4840;0,2823;0,2417;0,7049;-11,517;-17,659;-21,824;100,0242;
2,5760;0,1557;0,2974;0,9908;30,478;-16,519;-8,933;100,0242;
2,6210;0,1557;0,2974;0,9908;30,478;-16,519;-8,933;100,0242;
2,6840;0,1557;0,2974;0,9908;33,481;-16,519;-8,933;100,0242;
2,7380;0,6004;0,3072;0,8364;-36,645;-16,615;-35,672;100,0242;
2,8210;0,6004;0,3072;0,8364;-36,645;-16,615;-35,672;98,7223;
2,8840;0,6004;0,3072;0,8364;-31,039;-16,615;-35,672;98,7223;
2,8980;0,5403;0,2843;0,9708;-16,632;-14,352;-29,099;98,7223;
3,0210;0,5403;0,2843;0,9708;-16,632;-14,352;-29,099;98,7223;
3,0590;0,5349;0,1523;0,6659;-47,895;-10,112;-38,776;98,7223;
3,0940;0,5349;0,1523;0,6659;-39,528;-10,112;-38,776;97,9810;
3,2200;0,6771;0,1792;0,1152;-72,708;-14,623;-80,345;97,9810;
3,2210;0,6771;0,1792;0,1152;-72,708;-14,623;-80,345;97,9810;
3,2960;0,6771;0,1792;0,1152;-45,912;-14,623;-80,345;97,9810;
3,3800;0,7445;0,0360;-0,3551;-80,420;-2,501;-115,499;97,9810;
